Gene_ID,Gene_Name
GeneID:108689,Obfc1
GeneID:100503104,Gm19557
GeneID:68214,Gsto2
GeneID:414801,Itprip
GeneID:27360,Add3
GeneID:73713,Rbm20
GeneID:73707,Gucy2g
GeneID:53611,Vti1a
GeneID:21416,Tcf7l2
GeneID:18175,Nrap
GeneID:12369,Casp7
GeneID:226251,Ablim1
GeneID:226265,Eno4
GeneID:71653,4930506M07Rik
GeneID:14773,Grk5
GeneID:209630,Frmd4a
GeneID:227541,Camk1d
GeneID:11949,Atp5c1
GeneID:16588,Kin
GeneID:50755,Fbxo18
GeneID:320816,Ankrd16
GeneID:22352,Vim
GeneID:70957,4921530L18Rik
GeneID:20844,Stam
GeneID:67448,Plxdc2
GeneID:100504058,Gm20038
GeneID:208618,Etl4
GeneID:11308,Abi1
GeneID:215257,Il1f9
GeneID:109299,C330006A16Rik
GeneID:227648,Sec16a
GeneID:100125929,0610009E02Rik
GeneID:18128,Notch1
GeneID:56279,Fam69b
GeneID:72091,Snhg7
GeneID:100306955,Snora43
GeneID:100306954,Snora17
GeneID:329369,5730588L14Rik
GeneID:100039446,Gm2240
GeneID:20181,Rxra
GeneID:19730,Ralgds
GeneID:269252,Gtf3c4
GeneID:227674,Ddx31
GeneID:107746,Rapgef1
GeneID:26569,Slc27a4
GeneID:68205,Urm1
GeneID:227693,Zer1
GeneID:70296,Tbc1d13
GeneID:100038700,Gm14488
GeneID:100526499,Mir3089
GeneID:20204,Prrx2
GeneID:227707,BC005624
GeneID:74270,Usp20
GeneID:14269,Fnbp1
GeneID:665700,Hmcn2
