Symbol,SIDM00551,SIDM00478,SIDM00326,SIDM01026,SIDM01028,SIDM00278,SIDM00250,SIDM01032,SIDM01031,SIDM01024,SIDM01027,SIDM00956,SIDM00347,SIDM00325,SIDM01025,SIDM00349,SIDM00052,SIDM01029,SIDM00322
RPS27A,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS28,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS8,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPS9,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RPSA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RRM1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RRM2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RRN3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
RSL1D1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
